label,Bin1_Var,Bin1_Max,Bin2_Var,Bin2_Max,Bin3_Var,Bin3_Max,Bin4_Var,Bin4_Max,Bin5_Var,Bin5_Max,TD_Std,TD_Skew,TD_Kurtosis,TD_Median,TD_AbsDev,TD_Q1,TD_Q3,TD_IQR,TD_PCC,temp_env,rh_env,snr_db
Normal,0.0004676318555028039,0.000630627776838059,0.0004246598858876593,0.0005550696891819793,0.00038166417327148693,0.0005366238658112776,0.0003616320017343183,0.00045595399162415805,0.00033057607768029456,0.00039393862197331224,0.0013489032167761739,7.55123167449374,63.52020910332183,9.092185691182602e-05,0.0004883907468362274,3.672998297373806e-05,0.00023961582746230466,0.00020288584448856662,0.4559918105788874,25.0,50.0,40
Normal,0.00046626854019036985,0.0005998553743577009,0.0004360923241811107,0.0005718803791820348,0.0004027030904925382,0.0005026699870530368,0.00036213393214101444,0.0004564072653746681,0.0003478987514605836,0.00044184298043340375,0.0013618461803628903,7.145029975385589,55.26921047091301,0.00010919972917069345,0.000501741401828664,4.903512350526213e-05,0.00025240526879095096,0.00020337014528568883,0.4966793340082889,25.0,50.0,40
Normal,0.0004014729997769964,0.0005220954573138557,0.00036496512435969396,0.0004599946767275889,0.0003306347892114483,0.0004173654027910551,0.0003025459656422764,0.00037482465458836604,0.00027675501117485,0.0003423473563300798,0.0012359424651148415,6.8774350243679425,52.63425722639303,8.696935742465511e-05,0.00048082910316065667,3.1562515986532466e-05,0.0002484130582516671,0.00021685054226513464,0.6221880079396727,25.0,50.0,40
Normal,0.0003272448663554625,0.00041471681463683177,0.0002973732754510354,0.00036265902035243874,0.0002656305824249776,0.0003511286861381254,0.0002507562206616156,0.00031032886125272714,0.00023367435988088764,0.00030322090799260356,0.001126324197727431,6.754808356106739,48.518165049435694,6.312348554298213e-05,0.00041787868337337,3.1532651136233645e-05,0.00017333685894627894,0.0001418042078100453,0.5842235274027776,25.0,50.0,40
Normal,0.00034245782465701407,0.00043333912153747386,0.00032198583892752077,0.0004279449975249146,0.00029394920798640533,0.0003733317764661382,0.0002657492189573988,0.0003360882124353525,0.00026012629155817795,0.00031084822458019907,0.0011687521347317055,7.425606442822644,61.960848437538075,6.160782399356164e-05,0.00044152436673842787,2.22429561732339e-05,0.00021656632281467575,0.00019432336664144186,0.6501220093863878,25.0,50.0,40
Normal,0.0004448786583896824,0.0005440929589076727,0.00040722378953327655,0.0005296754205438228,0.0003797252549754839,0.0004926690996268254,0.00035160587877379,0.00044285357345796584,0.0003295813495155594,0.00041020709552224533,0.0013254873891009565,6.987134349970718,52.40176761409387,0.00010129869472536252,0.0004938578968169611,4.1986916947610574e-05,0.0002301585384377484,0.00018817162149013783,0.5116389430721526,25.0,50.0,40
Normal,0.0003750115998177075,0.00047926735165737793,0.0003367278163249974,0.0004245490610965297,0.000311342081557363,0.0004050520413627688,0.0002734540517023686,0.00033653822630937797,0.0002534662215245852,0.0003160608554217968,0.0011855520388700112,7.002597287426849,54.94892280210899,9.299903360133213e-05,0.0004615978030888054,3.0213580318600784e-05,0.0002253535099553049,0.0001951399296367041,0.6294494208566821,25.0,50.0,40
Normal,0.0008043724777781498,0.00100922067968389,0.0007679530624231256,0.0010214752103197319,0.0006974464641760071,0.0008585385757002327,0.000639079112482361,0.0007913787849101857,0.0005921502686025584,0.0007546671680009269,0.0018090407689885894,7.820031084271088,65.59448837483569,0.00011740650483334373,0.0006236426826375236,4.538925317210644e-05,0.0002800121928306028,0.00023462293965849634,0.5297423535810896,25.0,50.0,40
Normal,0.00027452815382550535,0.0003488589561038685,0.00025286218043502355,0.0003087532256032532,0.00023392036445866684,0.0002947584668094094,0.00021217091935633875,0.000262367869436203,0.0002053092764510117,0.0002494302476872977,0.0010569330124094373,8.334640166836598,76.99554520761657,4.450847193506469e-05,0.0003419214336271118,2.039720936272368e-05,0.0001348993788474326,0.00011450216948470892,0.425805582812292,25.0,50.0,40
Normal,0.0004638947383803314,0.0005723392302193608,0.0004359192098655356,0.0005775388045534626,0.0004024017077690034,0.0005219592658820317,0.00036467966837059126,0.0004450229298834215,0.0003407470356050392,0.00040350980897677996,0.0013530329189740445,6.827457252541857,51.23797643265781,0.00010449301631541352,0.0005212407706245976,4.2543604491954664e-05,0.00025864359263986136,0.00021609998814790669,0.6121615852559841,25.0,50.0,40
Normal,0.00029258953892274877,0.0003579605297756236,0.00026588663534822434,0.00034944578841008135,0.0002511051351935131,0.0003349403248544006,0.00022998798825950534,0.0002873116846170822,0.00021285019782312032,0.00025678245691881197,0.0010826439383864717,7.238325671516725,55.75834200656628,5.2650953250378954e-05,0.0003805223099814801,2.1008214584990923e-05,0.00015095831189128065,0.00012995009730628972,0.49846189031942295,25.0,50.0,40
Normal,0.00024106306708310778,0.00029709800219724096,0.0002063646634216299,0.00025942083022283715,0.00018672806385969164,0.0002447406472955376,0.00016694763620623196,0.00020962427855924373,0.00014605927236005083,0.0001795422532530175,0.0009309875962934676,7.143903546111215,57.15160852912498,6.446205345396277e-05,0.00035093033920037905,2.44385933962243e-05,0.00017731597057862465,0.00015287737718240035,0.6377243147124657,25.0,50.0,40
