label,Bin1_Var,Bin1_Max,Bin2_Var,Bin2_Max,Bin3_Var,Bin3_Max,Bin4_Var,Bin4_Max,Bin5_Var,Bin5_Max,TD_Std,TD_Skew,TD_Kurtosis,TD_Median,TD_AbsDev,TD_Q1,TD_Q3,TD_IQR,TD_PCC
Normal,0.0010108046036688375,0.0010977332690847714,0.0010193438893106982,0.001086536035966465,0.0010093264222483492,0.0010746235113588166,0.0009738154554428547,0.0010465964306672832,0.0009869849138504855,0.0011216531463106828,0.0021995908209149965,12.313083195292407,160.91364974558135,0.000112960109039225,0.0005625443732753113,5.243196100036662e-05,0.0002460707243213855,0.0001936387633210189,0.13929619681785732
Normal,0.001037414890495482,0.0011633016809390387,0.0010129838901517274,0.0010981483633850024,0.001003911883390601,0.0011115519057893727,0.0009894598432974634,0.0011263292901785113,0.000987166555996817,0.0010838654353371154,0.0021578017049954305,6.882521746310625,50.777138126884054,0.00012746819705947306,0.0007953939314226722,5.02377333848548e-05,0.00039751618371510844,0.00034727845033025363,0.5852072314891771
Normal,0.0010254375701195845,0.0011409160834664294,0.001021194354147294,0.0010990130429965321,0.0010065667768075633,0.0011148790142396583,0.0009770161749138382,0.0010939405061589635,0.0009826262105940206,0.001094583049569288,0.002202353199020281,11.945088316807185,153.48924586189216,9.802665027285878e-05,0.0005954269434375805,4.57117934590771e-05,0.00020855131727380745,0.00016283952381473035,0.19202737664980266
Normal,0.0010267606299995849,0.0010888804866522434,0.0010125465736497681,0.0010791888338227418,0.0009941944006520002,0.0010683925264359441,0.0009875853519983973,0.0010835590320736276,0.0009746898174693803,0.0010422493812144314,0.002199978211697299,12.520017105473695,165.06630959354817,0.00011142019586676247,0.0005475542006374078,5.453584513529295e-05,0.00024803303011343067,0.00019349718497813773,0.12253541779928259
Normal,0.0010361645008308304,0.0011696836727030063,0.0010251154506996604,0.0010960998403330027,0.0009958598567030108,0.0010642528169800514,0.0009982074761108318,0.0010623592307787235,0.000982197022338597,0.001073992769566482,0.002207736998961786,11.971022527612464,153.97206490069942,0.00010032155379584436,0.0005934991021714334,4.4849640643486764e-05,0.0002104323975113286,0.00016558275686784184,0.19126888530195882
Normal,0.0010129243677796027,0.0010990865003101117,0.0010196998417231098,0.001090471838754,0.000990922119425627,0.0010473413565329397,0.0009800171267533523,0.0010643561166440536,0.000981193243267408,0.001048490413410029,0.0021954594489929724,11.801881446155567,150.4563207143105,9.724594035868896e-05,0.0005973883131983225,4.501480210404918e-05,0.00021714054350627376,0.00017212574140222458,0.20752708367684786
Normal,0.0010241882330816142,0.0010937837438637174,0.0010191295170894536,0.0011032277947556175,0.0009991453257858522,0.0010673984138931639,0.0009967465328240368,0.0010738899914758497,0.0009881521676312376,0.0010534912933668275,0.00218375035381249,9.26960338839129,97.05360800870662,0.00013716836534858029,0.0006953310997156573,5.9976987768984793e-05,0.0002941450723277009,0.0002341680845587161,0.3697120059856299
Normal,0.001016232026250445,0.0010861830867750436,0.001009787054810455,0.0010832716201557146,0.0009988881303855132,0.001054555400823602,0.0009757452745610849,0.0010204080651405275,0.0009844240472909923,0.0010582372783035949,0.002176842887343172,9.402473428331065,99.85111339715571,0.00012501048448987535,0.0006875871333480683,5.5609411232650094e-05,0.0002762158063190067,0.0002206063950863566,0.3641980998741987
Normal,0.0010191066054360536,0.001105410697486434,0.0010132582845636627,0.001093788863037512,0.0010013222052053746,0.0010783012859967465,0.00099184889824632,0.0010989881559387749,0.0009703625277284695,0.0010670907247525515,0.0021526200588544786,7.932124901679424,69.56372761417767,0.00011369146209446563,0.000772413885084597,4.4262863431211874e-05,0.0003529467228445258,0.0003086838594133139,0.6664229426170479
Normal,0.0010235918785520353,0.0011091437588449367,0.0010208686421342996,0.0010992869205363712,0.0009841607452412,0.0010788393587822993,0.0009829678189901892,0.0010559643614375784,0.000977415027918614,0.0010677417906597624,0.0021468812890366638,7.047755933384365,55.01147653274458,0.00011962200131086461,0.0008008997739554868,3.929326588196962e-05,0.0003596735247363523,0.0003203802588543827,0.625203059029252
Normal,0.0010221792202070854,0.001081030434136103,0.0010260251991243677,0.0011012176411171822,0.0010014512395001896,0.0010948792228988745,0.000980745353364418,0.001060168422263817,0.0009939589193294059,0.0010842040813761576,0.0022151966008630663,12.897777460865532,172.52570462903142,8.468273911950669e-05,0.0005230597061665732,3.815320472774868e-05,0.00019422195472289933,0.00015606874999515066,0.08380923793433509
